NUMERO,QUEST 1,QUEST 2,QUEST 3,QUEST 4,QUEST 5,QUEST 6,QUEST 7,QUEST 8,QUEST 9 ,QUEST 10,QUEST 11,QUEST 12,QUEST 13,QUEST 14,QUEST 15,FORME,DUREE,SAMU,CSP,VILLE
1,7,5,2,1,2,6,5,5,6,5,4,5,1,4,3,O,< 6,O,IDE,STRAS
2,4,7,7,7,7,4,1,1,1,1,1,7,6,1,4,O,< 6,O,MED,STRAS
3,2,6,3,5,1,5,4,5,6,5,5,7,3,4,2,O,6-12,O,MED,STRAS
4,1,5,2,5,3,5,3,3,6,4,3,6,2,2,2,O,6-12,O,MED,STRAS
5,6,6,7,7,3,7,7,2,7,4,6,7,3,4,2,O,6-12,O,IADE,STRAS
6,6,2,6,7,6,5,3,5,6,4,5,2,4,5,5,O,< 6,O,ADE,STRAS
7,3,3,7,2,7,2,2,2,6,3,3,3,4,2,2,N,NA,,ADE,STRAS
8,1,1,6,1,2,2,6,4,6,6,6,4,6,6,5,O,< 6,O,IDE,STRAS
9,5,5,4,7,2,2,7,7,7,5,6,7,2,7,7,O,< 6,O+,MED,STRAS
10,7,7,6,1,2,3,6,6,5,3,7,7,2,6,6,O,< 6,O,IADE,STRAS
11,5,2,7,7,5,3,6,6,6,6,6,6,5,5,4,O,< 6,O,MED,STRAS
12,7,6,6,1,1,5,5,4,3,6,4,6,1,6,5,O,< 6,O,IDE,STRAS
13,6,5,5,4,4,3,5,5,5,5,6,6,5,5,5,N,NA,,MED,STRAS
14,7,3,3,7,4,6,6,5,4,4,2,5,2,4,4,O,< 6,O,IADE,STRAS
15,4,3,6,6,7,5,3,4,7,4,6,5,3,3,3,O,< 6,O,ADE,STRAS
16,4,4,6,6,6,5,5,5,3,5,4,6,6,6,5,O,< 6,O,MED,STRAS
17,5,4,7,7,7,6,5,5,4,4,5,5,7,5,5,O,6-12,O,IDE,STRAS
18,1,6,4,1,4,7,4,4,4,4,4,7,4,4,4,O,< 6,O,MED,STRAS
19,6,4,7,7,7,2,6,6,7,4,6,7,2,5,4,O,6-12,O,ADE,STRAS
20,6,6,7,1,4,7,7,7,5,7,5,4,1,4,2,O,< 6,O,ADE,STRAS
21,4,2,6,7,7,5,5,5,6,5,5,6,5,5,5,O,< 6,O,ADE,STRAS
22,3,3,3,7,3,2,5,5,5,5,5,5,3,5,5,O,6-12,O,IADE,STRAS
23,2,4,6,3,2,5,5,4,6,3,3,6,3,2,2,O,< 6,O,IDE,STRAS
24,1,1,6,1,7,7,4,5,3,5,5,6,5,5,3,O,< 6,O,ADE,STRAS
25,4,6,6,6,6,3,3,3,3,3,5,6,6,5,3,O,< 6,O,IADE,STRAS
26,6,2,6,4,5,2,7,6,7,7,7,7,3,6,6,O,< 6,O,ADE,STRAS
27,1,1,3,6,4,7,2,4,6,4,3,3,6,3,2,O,< 6,O,ADE,STRAS
28,4,2,4,7,2,6,3,2,4,3,5,5,6,4,3,O,< 6,O,IDE,STRAS
29,1,1,7,5,7,7,5,7,7,7,6,5,1,6,6,O,< 6,O,MED,STRAS
30,2,2,7,7,5,7,2,1,6,2,1,2,7,1,1,N,NA,,MED,STRAS
31,4,2,6,6,5,7,7,3,2,3,3,7,7,5,2,O,< 6,O,MED,STRAS
32,1,1,7,7,7,7,1,1,7,1,1,7,1,4,4,O,< 6,O,ADE,STRAS
33,7,7,7,1,3,7,7,7,7,6,7,7,2,7,7,O,< 6,O+,IDE,STRAS
34,6,3,7,7,7,6,3,2,5,3,2,5,7,4,3,O,< 6,O,ADE,STRAS
35,2,6,6,7,6,2,6,6,6,6,6,6,2,6,5,O,< 6,O,IDE,STRAS
36,3,3,4,3,5,2,5,4,6,4,5,6,3,6,3,O,>12,O,MED,STRAS
37,6,7,7,3,6,5,5,5,5,5,6,5,4,4,4,O,< 6,O,MED,STRAS
38,4,2,7,4,4,4,6,5,6,5,3,6,5,4,4,O,< 6,O,IADE,STRAS
39,1,5,6,1,4,5,3,3,5,4,3,4,4,2,2,O,< 6,O,MED,STRAS
40,5,4,7,1,4,5,3,5,5,2,5,5,7,5,5,O,< 6,O,ADE,STRAS
41,4,4,6,1,6,2,6,6,6,6,6,6,2,6,6,O,< 6,O,IDE,STRAS
42,2,2,5,6,2,6,2,2,6,5,3,6,4,4,3,O,< 6,O,IDE,STRAS
43,6,4,6,4,5,4,5,5,4,5,4,6,5,5,5,O,< 6,O,MED,STRAS
44,5,5,7,1,7,2,7,7,7,6,7,7,1,7,7,O,< 6,O+,IDE,STRAS
45,3,3,6,7,7,7,6,4,6,3,3,4,6,1,1,N,NA,,IDE,STRAS
46,4,4,6,1,6,1,5,5,7,5,6,6,1,6,6,O,< 6,O,ADE,STRAS
47,4,4,6,6,6,6,6,4,6,6,5,6,6,5,5,O,< 6,O,IDE,STRAS
48,7,7,7,2,1,4,6,5,6,6,6,7,3,6,6,O,< 6,O,IADE,STRAS
49,3,3,2,6,1,4,3,3,6,6,5,6,4,2,2,O,< 6,O,IDE,STRAS
50,7,7,6,5,7,7,7,5,5,5,5,7,5,5,5,O,< 6,O,ADE,STRAS
51,5,1,4,6,5,6,3,4,3,3,3,3,5,3,3,O,< 6,O,MED,STRAS
52,3,2,6,4,7,2,2,6,5,4,4,3,1,6,5,O,6-12,O,ADE,STRAS
53,3,3,2,1,1,5,4,5,5,5,4,5,3,3,3,O,< 6,O+,MED,STRAS
54,3,1,2,5,1,7,3,1,5,3,2,3,4,1,1,N,NA,,MED,STRAS
55,1,1,1,1,1,1,4,4,7,5,2,7,3,1,1,O,< 6,O,MED,STRAS
56,4,4,5,2,4,5,5,5,6,4,5,7,3,5,5,O,6-12,O,NA,STRAS
57,1,1,2,2,1,7,1,1,7,4,6,4,1,6,3,O,6-12,O,ADE,STRAS
58,4,4,7,5,1,6,4,4,4,4,4,7,4,6,3,O,6-12,O,IDE,STRAS
59,5,3,5,2,4,5,5,4,6,5,4,6,3,2,2,O,< 6,O+,MED,STRAS
60,1,7,1,1,1,1,7,7,4,7,7,4,1,1,1,N,NA,,IADE,REIMS
61,3,3,3,7,3,5,6,5,6,6,4,6,6,6,6,O,< 6,O,IDE,REIMS
62,6,4,6,5,7,1,5,5,6,6,5,6,4,4,4,O,< 6,O,IDE,REIMS
63,5,3,3,1,3,1,5,4,6,5,6,5,1,7,7,O,< 6,O,ADE,REIMS
64,5,4,7,1,7,5,3,2,2,2,5,7,6,6,6,O,< 6,O,ADE,REIMS
65,6,6,4,2,1,4,4,4,3,3,3,6,4,5,4,O,< 6,O,IDE,REIMS
66,5,4,5,7,4,6,6,4,5,6,1,6,7,1,1,N,NA,,IDE,REIMS
67,5,2,3,1,2,4,4,4,3,4,4,5,2,4,4,N,NA,,IDE,REIMS
68,3,2,3,4,5,4,1,1,3,3,1,5,4,1,1,N,NA,,IDE,REIMS
69,3,1,3,4,5,5,3,1,3,1,1,4,4,1,1,N,NA,,IDE,REIMS
70,1,1,4,1,4,1,4,4,4,7,4,7,1,4,2,O,< 6,O,IDE,REIMS
71,3,3,5,5,3,2,6,6,6,6,6,6,5,6,6,O,< 6,O,IDE,REIMS
72,4,2,6,7,4,7,2,2,5,2,2,3,7,2,2,N,NA,,IDE,REIMS
73,5,4,6,6,6,5,5,4,5,4,4,5,6,3,3,N,NA,,IDE,REIMS
74,5,7,7,1,1,1,2,6,7,7,7,7,1,7,7,O,< 6,O+,MED,REIMS
75,6,6,5,1,2,1,6,6,6,6,6,6,4,6,6,O,< 6,O,IADE,REIMS
76,1,3,4,4,2,3,3,3,3,3,4,6,5,5,3,O,< 6,O,MED,REIMS
77,5,5,4,1,7,5,5,5,6,5,6,5,7,6,6,O,< 6,O,MED,REIMS
78,1,1,4,5,1,6,6,2,6,6,1,1,3,2,1,N,NA,,MED,REIMS
79,4,4,6,7,5,3,6,3,6,1,6,6,3,6,6,O,< 6,O,ADE,REIMS
80,4,5,6,1,5,5,6,3,4,5,6,6,4,5,3,O,< 6,O,ADE,REIMS
81,4,4,5,3,1,2,7,6,7,6,6,6,2,7,5,O,< 6,O,IADE,REIMS
82,4,1,7,7,7,4,6,4,7,1,6,6,5,7,7,O,< 6,O,ADE,REIMS
83,6,5,4,6,4,3,6,6,6,6,6,6,5,6,6,O,< 6,O,MED,REIMS
84,1,1,7,1,4,1,7,7,7,4,6,7,1,7,7,O,< 6,O,ADE,REIMS
85,7,1,4,7,7,5,5,3,5,4,7,5,7,1,1,N,NA,,IDE,REIMS
86,7,7,7,4,2,6,6,6,5,6,5,7,4,6,6,O,< 6,O,MED,REIMS
87,1,5,3,4,2,2,5,5,5,3,5,5,1,6,6,O,< 6,O,MED,REIMS
88,3,1,4,6,4,6,4,4,6,3,3,6,5,3,3,O,< 6,O,ADE,REIMS
89,6,6,7,1,6,1,6,6,6,6,7,7,5,7,7,O,< 6,O+,IADE,REIMS
90,3,1,4,6,4,6,4,4,6,3,3,6,5,4,3,O,< 6,O,IDE,REIMS
91,3,2,2,2,2,5,5,4,4,4,6,6,4,6,5,O,< 6,O,IDE,REIMS
92,5,3,4,1,1,2,6,6,6,6,6,7,1,6,6,O,< 6,O,ADE,REIMS
93,2,2,3,1,2,1,7,7,7,4,6,5,1,7,7,O,< 6,O,IDE,REIMS
94,7,7,6,7,7,1,5,5,7,6,7,7,6,6,6,O,< 6,O,IADE,REIMS
95,1,2,2,1,3,3,3,3,1,3,3,2,3,1,4,O,< 6,O,IDE,REIMS
96,7,4,7,1,7,4,7,2,2,1,1,4,7,7,7,N,NA,,ADE,REIMS
97,3,4,7,6,6,4,4,4,6,4,3,6,5,2,2,N,NA,,IDE,REIMS
98,1,1,4,1,4,2,7,7,7,7,7,7,1,7,7,O,< 6,O,IADE,REIMS
99,6,6,6,1,2,6,6,6,7,7,6,7,1,6,6,O,< 6,O,IDE,REIMS
100,1,1,7,1,6,2,7,7,7,7,7,7,1,7,7,O,< 6,O+,IADE,REIMS
101,5,3,2,7,1,3,4,2,6,3,3,6,6,3,3,O,< 6,O,MED,REIMS
102,1,1,2,7,7,4,4,5,5,4,3,5,7,4,4,N,NA,,MED,REIMS
103,4,4,5,2,5,3,6,3,2,3,2,3,3,1,1,N,NA,,IDE,REIMS
104,3,3,4,3,1,3,5,5,5,4,5,2,2,2,2,N,NA,,IDE,REIMS
105,1,1,2,6,4,4,4,4,5,5,4,4,4,4,4,O,>12,O,IADE,REIMS
106,6,1,7,7,7,1,7,4,6,2,2,7,7,6,6,O,< 6,O,IDE,REIMS
107,4,1,4,6,3,2,3,3,4,4,3,3,4,3,3,N,NA,,IDE,REIMS
108,4,4,5,6,6,6,5,5,5,5,5,4,5,3,3,N,NA,,IDE,REIMS
109,4,1,4,1,4,7,1,1,5,1,1,1,6,1,1,N,NA,,IADE,REIMS
110,3,5,7,1,3,2,6,6,6,7,6,7,1,6,5,O,>12,O,MED,REIMS
111,4,1,4,1,1,4,6,5,2,5,4,4,3,4,4,O,< 6,O,MED,REIMS
112,5,3,6,1,2,2,4,5,6,5,6,5,2,5,5,O,>12,O,ADE,REIMS
113,2,2,5,2,6,3,6,5,6,6,5,5,2,4,4,O,>12,O,IDE,REIMS
114,5,2,2,7,2,2,6,2,4,5,1,5,6,1,1,N,NA,,IDE,REIMS
115,4,2,2,2,2,3,4,3,3,3,3,2,4,5,5,O,>12,O,MED,REIMS
116,5,5,5,7,5,7,3,3,5,3,3,1,3,1,1,N,NA,,IDE,REIMS
117,3,1,5,2,7,6,6,6,6,6,6,6,2,6,6,O,>12,O,ADE,REIMS
